TaxYear,TaxDistrict,TIFProjectNum,TIFProjectName,TIFStatus,TIFStartYear,TIFEndYear,TIFPercentage,ParcelNumber,Library,JNVS,ParkDist,CityVillage,Township,School,TaxableLUC,TIFLUC,AppraisedLand,AppraisedImpr,AppraisedTotal,AssessedLand,AssessedImpr,AssessedTotal,Homesite,TaxRateType,FullRate,ReductionFactor,NonBusinessRate,OwnOccRate,EffectiveRate,EffRateCountyGen,EffRateChildren,EffRateADMH,EffRateFCBDD,EffRateParks,EffRateZoo,EffRateSenior,EffRateLibrary,EffRateJNVS,EffRateParkDist,EffRateCityVillage,EffRateTownship,EffRateSchools,EffRateCSCC,DivertedCountyGen,DivertedChildren,DivertedADMH,DivertedFCBDD,DivertedParks,DivertedZoo,DivertedSenior,DivertedLibrary,DivertedJNVS,DivertedParkDist,DivertedCityVillage,DivertedTownship,DivertedSchools,DivertedCSCC,DivertedTotal,TIFTotal,SourceFile,TIFJvs,TIFCityVillage,TIFTownship,TIFSchools,TIFMLND,TIFMBLD
2014,175,90-079,COLS WAGGONER M/I INCENT (175),Active,2006,2035,100,175273706,COL.&FRANKLIN COUNTY PUB LIB D,LICKING COUNTY JVSD,,COLUMBUS CITY,JEFFERSON TWP,LICKING HEIGHTS LSD,510 - ONE-FAMILY DWLG ON PLATTED LOT,720,0,93000,93000,0,32550,32550,Yes,Res/Ag,98.9,0.098423,0.096661,0.024165,89.166048,1.47,4.843961,2.193655,6.979812,0.747837,0.69555,1.29625,2.8,2.54,0,1.43,11.488231,52.680752,0,41.87,137.96,62.48,198.8,21.3,19.81,36.92,79.75,72.34,0,40.72,339.31,0,0,1051.26,2551.68,TifDetails-TY2014-2025-05-22.xlsx,,,,,,
2014,175,90-079,COLS WAGGONER M/I INCENT (175),Active,2006,2035,100,175273707,COL.&FRANKLIN COUNTY PUB LIB D,LICKING COUNTY JVSD,,COLUMBUS CITY,JEFFERSON TWP,LICKING HEIGHTS LSD,510 - ONE-FAMILY DWLG ON PLATTED LOT,720,0,95800,95800,0,33530,33530,Yes,Res/Ag,98.9,0.098423,0.096661,0.024165,89.166048,1.47,4.843961,2.193655,6.979812,0.747837,0.69555,1.29625,2.8,2.54,0,1.43,11.488231,52.680752,0,43.13,142.12,64.36,204.78,21.94,20.41,38.03,82.15,74.52,0,41.95,349.52,0,0,1082.91,2628.5,TifDetails-TY2014-2025-05-22.xlsx,,,,,,
2014,175,90-079,COLS WAGGONER M/I INCENT (175),Active,2006,2035,100,175273708,COL.&FRANKLIN COUNTY PUB LIB D,LICKING COUNTY JVSD,,COLUMBUS CITY,JEFFERSON TWP,LICKING HEIGHTS LSD,510 - ONE-FAMILY DWLG ON PLATTED LOT,720,0,88600,88600,0,31010,31010,Yes,Res/Ag,98.9,0.098423,0.096661,0.024165,89.166048,1.47,4.843961,2.193655,6.979812,0.747837,0.69555,1.29625,2.8,2.54,0,1.43,11.488231,52.680752,0,39.89,131.43,59.52,189.38,20.29,18.87,35.17,75.97,68.92,0,38.8,323.28,0,0,1001.52,2430.94,TifDetails-TY2014-2025-05-22.xlsx,,,,,,
2014,175,90-079,COLS WAGGONER M/I INCENT (175),Active,2006,2035,100,175273709,COL.&FRANKLIN COUNTY PUB LIB D,LICKING COUNTY JVSD,,COLUMBUS CITY,JEFFERSON TWP,LICKING HEIGHTS LSD,510 - ONE-FAMILY DWLG ON PLATTED LOT,720,0,89900,89900,0,31470,31470,Yes,Res/Ag,98.9,0.098423,0.096661,0.024165,89.166048,1.47,4.843961,2.193655,6.979812,0.747837,0.69555,1.29625,2.8,2.54,0,1.43,11.488231,52.680752,0,40.48,133.39,60.41,192.2,20.59,19.15,35.69,77.1,69.94,0,39.38,328.05,0,0,1016.38,2467.02,TifDetails-TY2014-2025-05-22.xlsx,,,,,,
2014,175,90-079,COLS WAGGONER M/I INCENT (175),Active,2006,2035,100,175273710,COL.&FRANKLIN COUNTY PUB LIB D,LICKING COUNTY JVSD,,COLUMBUS CITY,JEFFERSON TWP,LICKING HEIGHTS LSD,510 - ONE-FAMILY DWLG ON PLATTED LOT,720,0,102400,102400,0,35840,35840,No,Res/Ag,98.9,0.098423,0.096661,0.024165,89.166048,1.47,4.843961,2.193655,6.979812,0.747837,0.69555,1.29625,2.8,2.54,0,1.43,11.488231,52.680752,0,47.42,156.24,70.76,225.14,24.12,22.44,41.81,90.32,81.93,0,46.13,381.23,0,0,1187.54,2886.82,TifDetails-TY2014-2025-05-22.xlsx,,,,,,
2014,175,90-079,COLS WAGGONER M/I INCENT (175),Active,2006,2035,100,175273711,COL.&FRANKLIN COUNTY PUB LIB D,LICKING COUNTY JVSD,,COLUMBUS CITY,JEFFERSON TWP,LICKING HEIGHTS LSD,510 - ONE-FAMILY DWLG ON PLATTED LOT,720,0,99000,99000,0,34650,34650,Yes,Res/Ag,98.9,0.098423,0.096661,0.024165,89.166048,1.47,4.843961,2.193655,6.979812,0.747837,0.69555,1.29625,2.8,2.54,0,1.43,11.488231,52.680752,0,44.57,146.87,66.51,211.62,22.67,21.09,39.3,84.89,77.01,0,43.35,361.2,0,0,1119.08,2716.3,TifDetails-TY2014-2025-05-22.xlsx,,,,,,
2014,175,90-079,COLS WAGGONER M/I INCENT (175),Active,2006,2035,100,175273712,COL.&FRANKLIN COUNTY PUB LIB D,LICKING COUNTY JVSD,,COLUMBUS CITY,JEFFERSON TWP,LICKING HEIGHTS LSD,510 - ONE-FAMILY DWLG ON PLATTED LOT,720,0,71600,71600,0,25060,25060,Yes,Res/Ag,98.9,0.098423,0.096661,0.024165,89.166048,1.47,4.843961,2.193655,6.979812,0.747837,0.69555,1.29625,2.8,2.54,0,1.43,11.488231,52.680752,0,32.23,106.22,48.1,153.06,16.4,15.25,28.42,61.4,55.69,0,31.36,261.23,0,0,809.36,1964.52,TifDetails-TY2014-2025-05-22.xlsx,,,,,,
2014,175,90-079,COLS WAGGONER M/I INCENT (175),Active,2006,2035,100,175273713,COL.&FRANKLIN COUNTY PUB LIB D,LICKING COUNTY JVSD,,COLUMBUS CITY,JEFFERSON TWP,LICKING HEIGHTS LSD,510 - ONE-FAMILY DWLG ON PLATTED LOT,720,0,60500,60500,0,21180,21180,Yes,Res/Ag,98.9,0.098423,0.096661,0.024165,89.166048,1.47,4.843961,2.193655,6.979812,0.747837,0.69555,1.29625,2.8,2.54,0,1.43,11.488231,52.680752,0,27.24,89.78,40.65,129.36,13.86,12.89,24.02,51.89,47.07,0,26.5,220.79,0,0,684.05,1660.36,TifDetails-TY2014-2025-05-22.xlsx,,,,,,
2014,175,90-079,COLS WAGGONER M/I INCENT (175),Active,2006,2035,100,175273714,COL.&FRANKLIN COUNTY PUB LIB D,LICKING COUNTY JVSD,,COLUMBUS CITY,JEFFERSON TWP,LICKING HEIGHTS LSD,510 - ONE-FAMILY DWLG ON PLATTED LOT,720,0,131300,131300,0,45960,45960,No,Res/Ag,98.9,0.098423,0.096661,0.024165,89.166048,1.47,4.843961,2.193655,6.979812,0.747837,0.69555,1.29625,2.8,2.54,0,1.43,11.488231,52.680752,0,60.8,200.37,90.74,288.72,30.93,28.77,53.62,115.82,105.06,0,59.15,488.88,0,0,1522.86,3701.96,TifDetails-TY2014-2025-05-22.xlsx,,,,,,
2014,175,90-079,COLS WAGGONER M/I INCENT (175),Active,2006,2035,100,175273715,COL.&FRANKLIN COUNTY PUB LIB D,LICKING COUNTY JVSD,,COLUMBUS CITY,JEFFERSON TWP,LICKING HEIGHTS LSD,510 - ONE-FAMILY DWLG ON PLATTED LOT,720,0,108800,108800,0,38080,38080,Yes,Res/Ag,98.9,0.098423,0.096661,0.024165,89.166048,1.47,4.843961,2.193655,6.979812,0.747837,0.69555,1.29625,2.8,2.54,0,1.43,11.488231,52.680752,0,48.98,161.4,73.09,232.56,24.92,23.18,43.19,93.3,84.63,0,47.66,396.95,0,0,1229.86,2985.18,TifDetails-TY2014-2025-05-22.xlsx,,,,,,
2014,175,90-079,COLS WAGGONER M/I INCENT (175),Active,2006,2035,100,175273716,COL.&FRANKLIN COUNTY PUB LIB D,LICKING COUNTY JVSD,,COLUMBUS CITY,JEFFERSON TWP,LICKING HEIGHTS LSD,510 - ONE-FAMILY DWLG ON PLATTED LOT,720,0,54600,54600,0,19110,19110,Yes,Res/Ag,98.9,0.098423,0.096661,0.024165,89.166048,1.47,4.843961,2.193655,6.979812,0.747837,0.69555,1.29625,2.8,2.54,0,1.43,11.488231,52.680752,0,24.58,81,36.68,116.72,12.5,11.63,21.68,46.82,42.47,0,23.92,199.19,0,0,617.19,1498.08,TifDetails-TY2014-2025-05-22.xlsx,,,,,,
2014,175,90-079,COLS WAGGONER M/I INCENT (175),Active,2006,2035,100,175273717,COL.&FRANKLIN COUNTY PUB LIB D,LICKING COUNTY JVSD,,COLUMBUS CITY,JEFFERSON TWP,LICKING HEIGHTS LSD,510 - ONE-FAMILY DWLG ON PLATTED LOT,720,0,105900,105900,0,37070,37070,Yes,Res/Ag,98.9,0.098423,0.096661,0.024165,89.166048,1.47,4.843961,2.193655,6.979812,0.747837,0.69555,1.29625,2.8,2.54,0,1.43,11.488231,52.680752,0,47.68,157.12,71.15,226.4,24.26,22.56,42.05,90.82,82.39,0,46.38,386.43,0,0,1197.24,2906,TifDetails-TY2014-2025-05-22.xlsx,,,,,,
2014,175,90-079,COLS WAGGONER M/I INCENT (175),Active,2006,2035,100,175273718,COL.&FRANKLIN COUNTY PUB LIB D,LICKING COUNTY JVSD,,COLUMBUS CITY,JEFFERSON TWP,LICKING HEIGHTS LSD,510 - ONE-FAMILY DWLG ON PLATTED LOT,720,0,111000,111000,0,38850,38850,Yes,Res/Ag,98.9,0.098423,0.096661,0.024165,89.166048,1.47,4.843961,2.193655,6.979812,0.747837,0.69555,1.29625,2.8,2.54,0,1.43,11.488231,52.680752,0,49.97,164.67,74.57,237.28,25.42,23.64,44.06,95.18,86.35,0,48.61,404.98,0,0,1254.73,3045.56,TifDetails-TY2014-2025-05-22.xlsx,,,,,,
2014,175,90-079,COLS WAGGONER M/I INCENT (175),Active,2006,2035,100,175273719,COL.&FRANKLIN COUNTY PUB LIB D,LICKING COUNTY JVSD,,COLUMBUS CITY,JEFFERSON TWP,LICKING HEIGHTS LSD,510 - ONE-FAMILY DWLG ON PLATTED LOT,720,0,104000,104000,0,36400,36400,Yes,Res/Ag,98.9,0.098423,0.096661,0.024165,89.166048,1.47,4.843961,2.193655,6.979812,0.747837,0.69555,1.29625,2.8,2.54,0,1.43,11.488231,52.680752,0,46.82,154.28,69.87,222.3,23.82,22.15,41.29,89.18,80.9,0,45.54,379.45,0,0,1175.6,2853.48,TifDetails-TY2014-2025-05-22.xlsx,,,,,,
2014,175,90-079,COLS WAGGONER M/I INCENT (175),Active,2006,2035,100,175273720,COL.&FRANKLIN COUNTY PUB LIB D,LICKING COUNTY JVSD,,COLUMBUS CITY,JEFFERSON TWP,LICKING HEIGHTS LSD,510 - ONE-FAMILY DWLG ON PLATTED LOT,720,0,108800,108800,0,38080,38080,Yes,Res/Ag,98.9,0.098423,0.096661,0.024165,89.166048,1.47,4.843961,2.193655,6.979812,0.747837,0.69555,1.29625,2.8,2.54,0,1.43,11.488231,52.680752,0,48.98,161.4,73.09,232.56,24.92,23.18,43.19,93.3,84.63,0,47.66,396.95,0,0,1229.86,2985.18,TifDetails-TY2014-2025-05-22.xlsx,,,,,,
2014,175,90-079,COLS WAGGONER M/I INCENT (175),Active,2006,2035,100,175273721,COL.&FRANKLIN COUNTY PUB LIB D,LICKING COUNTY JVSD,,COLUMBUS CITY,JEFFERSON TWP,LICKING HEIGHTS LSD,510 - ONE-FAMILY DWLG ON PLATTED LOT,720,0,131600,131600,0,46060,46060,No,Res/Ag,98.9,0.098423,0.096661,0.024165,89.166048,1.47,4.843961,2.193655,6.979812,0.747837,0.69555,1.29625,2.8,2.54,0,1.43,11.488231,52.680752,0,60.94,200.8,90.93,289.34,31,28.83,53.73,116.07,105.29,0,59.29,489.95,0,0,1526.17,3710,TifDetails-TY2014-2025-05-22.xlsx,,,,,,
2014,175,90-079,COLS WAGGONER M/I INCENT (175),Active,2006,2035,100,175273722,COL.&FRANKLIN COUNTY PUB LIB D,LICKING COUNTY JVSD,,COLUMBUS CITY,JEFFERSON TWP,LICKING HEIGHTS LSD,510 - ONE-FAMILY DWLG ON PLATTED LOT,720,0,53600,53600,0,18760,18760,No,Res/Ag,98.9,0.098423,0.096661,0.024165,89.166048,1.47,4.843961,2.193655,6.979812,0.747837,0.69555,1.29625,2.8,2.54,0,1.43,11.488231,52.680752,0,24.82,81.79,37.04,117.84,12.63,11.74,21.89,47.27,42.89,0,24.13,199.56,0,0,621.6,1511.06,TifDetails-TY2014-2025-05-22.xlsx,,,,,,
2014,175,90-079,COLS WAGGONER M/I INCENT (175),Active,2006,2035,100,175273723,COL.&FRANKLIN COUNTY PUB LIB D,LICKING COUNTY JVSD,,COLUMBUS CITY,JEFFERSON TWP,LICKING HEIGHTS LSD,510 - ONE-FAMILY DWLG ON PLATTED LOT,720,0,102400,102400,0,35840,35840,No,Res/Ag,98.9,0.098423,0.096661,0.024165,89.166048,1.47,4.843961,2.193655,6.979812,0.747837,0.69555,1.29625,2.8,2.54,0,1.43,11.488231,52.680752,0,47.42,156.24,70.76,225.14,24.12,22.44,41.81,90.32,81.93,0,46.13,381.23,0,0,1187.54,2886.82,TifDetails-TY2014-2025-05-22.xlsx,,,,,,
2014,175,90-079,COLS WAGGONER M/I INCENT (175),Active,2006,2035,100,175273724,COL.&FRANKLIN COUNTY PUB LIB D,LICKING COUNTY JVSD,,COLUMBUS CITY,JEFFERSON TWP,LICKING HEIGHTS LSD,510 - ONE-FAMILY DWLG ON PLATTED LOT,720,0,86600,86600,0,30310,30310,Yes,Res/Ag,98.9,0.098423,0.096661,0.024165,89.166048,1.47,4.843961,2.193655,6.979812,0.747837,0.69555,1.29625,2.8,2.54,0,1.43,11.488231,52.680752,0,38.99,128.47,58.18,185.12,19.83,18.45,34.38,74.26,67.36,0,37.93,315.95,0,0,978.92,2376.08,TifDetails-TY2014-2025-05-22.xlsx,,,,,,
2014,175,90-079,COLS WAGGONER M/I INCENT (175),Active,2006,2035,100,175273725,COL.&FRANKLIN COUNTY PUB LIB D,LICKING COUNTY JVSD,,COLUMBUS CITY,JEFFERSON TWP,LICKING HEIGHTS LSD,510 - ONE-FAMILY DWLG ON PLATTED LOT,720,0,105400,105400,0,36890,36890,Yes,Res/Ag,98.9,0.098423,0.096661,0.024165,89.166048,1.47,4.843961,2.193655,6.979812,0.747837,0.69555,1.29625,2.8,2.54,0,1.43,11.488231,52.680752,0,47.45,156.36,70.81,225.3,24.14,22.45,41.84,90.38,81.99,0,46.15,384.56,0,0,1191.43,2891.9,TifDetails-TY2014-2025-05-22.xlsx,,,,,,
2014,175,90-079,COLS WAGGONER M/I INCENT (175),Active,2006,2035,100,175273726,COL.&FRANKLIN COUNTY PUB LIB D,LICKING COUNTY JVSD,,COLUMBUS CITY,JEFFERSON TWP,LICKING HEIGHTS LSD,510 - ONE-FAMILY DWLG ON PLATTED LOT,720,0,105800,105800,0,37030,37030,Yes,Res/Ag,98.9,0.098423,0.096661,0.024165,89.166048,1.47,4.843961,2.193655,6.979812,0.747837,0.69555,1.29625,2.8,2.54,0,1.43,11.488231,52.680752,0,47.63,156.94,71.08,226.16,24.23,22.54,42,90.72,82.3,0,46.33,386.02,0,0,1195.95,2902.88,TifDetails-TY2014-2025-05-22.xlsx,,,,,,
2014,175,90-079,COLS WAGGONER M/I INCENT (175),Active,2006,2035,100,175273727,COL.&FRANKLIN COUNTY PUB LIB D,LICKING COUNTY JVSD,,COLUMBUS CITY,JEFFERSON TWP,LICKING HEIGHTS LSD,510 - ONE-FAMILY DWLG ON PLATTED LOT,720,0,146900,146900,0,51420,51420,No,Res/Ag,98.9,0.098423,0.096661,0.024165,89.166048,1.47,4.843961,2.193655,6.979812,0.747837,0.69555,1.29625,2.8,2.54,0,1.43,11.488231,52.680752,0,68.03,224.17,101.52,323.02,34.61,32.19,59.99,129.58,117.55,0,66.17,546.95,0,0,1703.78,4141.74,TifDetails-TY2014-2025-05-22.xlsx,,,,,,
2014,175,90-079,COLS WAGGONER M/I INCENT (175),Active,2006,2035,100,175273728,COL.&FRANKLIN COUNTY PUB LIB D,LICKING COUNTY JVSD,,COLUMBUS CITY,JEFFERSON TWP,LICKING HEIGHTS LSD,510 - ONE-FAMILY DWLG ON PLATTED LOT,720,0,138400,138400,0,48440,48440,No,Res/Ag,98.9,0.098423,0.096661,0.024165,89.166048,1.47,4.843961,2.193655,6.979812,0.747837,0.69555,1.29625,2.8,2.54,0,1.43,11.488231,52.680752,0,64.09,211.18,95.63,304.3,32.6,30.32,56.51,122.07,110.73,0,62.34,515.26,0,0,1605.03,3901.7,TifDetails-TY2014-2025-05-22.xlsx,,,,,,
2014,175,90-079,COLS WAGGONER M/I INCENT (175),Active,2006,2035,100,175273729,COL.&FRANKLIN COUNTY PUB LIB D,LICKING COUNTY JVSD,,COLUMBUS CITY,JEFFERSON TWP,LICKING HEIGHTS LSD,510 - ONE-FAMILY DWLG ON PLATTED LOT,720,0,138900,138900,0,48620,48620,Yes,Res/Ag,98.9,0.098423,0.096661,0.024165,89.166048,1.47,4.843961,2.193655,6.979812,0.747837,0.69555,1.29625,2.8,2.54,0,1.43,11.488231,52.680752,0,40.03,131.9,59.73,190.06,20.36,18.94,35.3,76.24,69.16,0,38.94,324.41,0,0,1005.07,2439.56,TifDetails-TY2014-2025-05-22.xlsx,,,,,,
2014,175,90-079,COLS WAGGONER M/I INCENT (175),Active,2006,2035,100,175273730,COL.&FRANKLIN COUNTY PUB LIB D,LICKING COUNTY JVSD,,COLUMBUS CITY,JEFFERSON TWP,LICKING HEIGHTS LSD,510 - ONE-FAMILY DWLG ON PLATTED LOT,720,0,96200,96200,0,33670,33670,No,Res/Ag,98.9,0.098423,0.096661,0.024165,89.166048,1.47,4.843961,2.193655,6.979812,0.747837,0.69555,1.29625,2.8,2.54,0,1.43,11.488231,52.680752,0,44.55,146.79,66.47,211.5,22.66,21.08,39.28,84.85,76.97,0,43.33,358.16,0,0,1115.64,2712.02,TifDetails-TY2014-2025-05-22.xlsx,,,,,,
