TaxYear,Municipality,TaxDistrict,PropertyClass,GeneralRate,FireRate,RoadRate,TotalTownshipMillage
2014,Jefferson Unincorporated,170,ResAgr,1.0,9.968231,0.25,11.218231
2014,Jefferson Unincorporated,170,ComInd,1.0,9.968231,0.25,11.218231
2014,Columbus,175,ResAgr,1.17,9.968231,0.0,11.138231
2014,Columbus,175,ComInd,1.17,9.968231,0.0,11.138231
2014,Gahanna,027,ResAgr,1.62,9.968231,0.0,11.588231
2014,Gahanna,027,ComInd,1.62,9.968231,0.0,11.588231
2014,Reynoldsburg,067,ResAgr,1.0,9.968231,0.0,10.968231
2014,Reynoldsburg,067,ComInd,1.0,9.968231,0.0,10.968231
2015,Jefferson Unincorporated,170,ResAgr,1.0,9.968231,0.25,11.218231
2015,Jefferson Unincorporated,170,ComInd,1.0,9.968231,0.25,11.218231
2015,Columbus,175,ResAgr,1.17,9.968231,0.0,11.138231
2015,Columbus,175,ComInd,1.17,9.968231,0.0,11.138231
2015,Gahanna,027,ResAgr,1.62,9.968231,0.0,11.588231
2015,Gahanna,027,ComInd,1.62,9.968231,0.0,11.588231
2015,Reynoldsburg,067,ResAgr,1.0,9.968231,0.0,10.968231
2015,Reynoldsburg,067,ComInd,1.0,9.968231,0.0,10.968231
2016,Jefferson Unincorporated,170,ResAgr,1.0,9.968231,0.25,11.218231
2016,Jefferson Unincorporated,170,ComInd,1.0,9.968231,0.25,11.218231
2016,Columbus,175,ResAgr,1.17,9.968231,0.0,11.138231
2016,Columbus,175,ComInd,1.17,9.968231,0.0,11.138231
2016,Gahanna,027,ResAgr,1.62,9.968231,0.0,11.588231
2016,Gahanna,027,ComInd,1.62,9.968231,0.0,11.588231
2016,Reynoldsburg,067,ResAgr,1.0,9.968231,0.0,10.968231
2016,Reynoldsburg,067,ComInd,1.0,9.968231,0.0,10.968231
2017,Jefferson Unincorporated,170,ResAgr,1.0,9.968231,0.25,11.218231
2017,Jefferson Unincorporated,170,ComInd,1.0,9.968231,0.25,11.218231
2017,Columbus,175,ResAgr,1.17,9.968231,0.0,11.138231
2017,Columbus,175,ComInd,1.17,9.968231,0.0,11.138231
2017,Gahanna,027,ResAgr,1.62,9.968231,0.0,11.588231
2017,Gahanna,027,ComInd,1.62,9.968231,0.0,11.588231
2017,Reynoldsburg,067,ResAgr,1.0,9.968231,0.0,10.968231
2017,Reynoldsburg,067,ComInd,1.0,9.968231,0.0,10.968231
2018,Jefferson Unincorporated,170,ResAgr,1.0,9.968231,0.25,11.218231
2018,Jefferson Unincorporated,170,ComInd,1.0,9.968231,0.25,11.218231
2018,Columbus,175,ResAgr,1.17,9.968231,0.0,11.138231
2018,Columbus,175,ComInd,1.17,9.968231,0.0,11.138231
2018,Gahanna,027,ResAgr,1.62,9.968231,0.0,11.588231
2018,Gahanna,027,ComInd,1.62,9.968231,0.0,11.588231
2018,Reynoldsburg,067,ResAgr,1.0,9.968231,0.0,10.968231
2018,Reynoldsburg,067,ComInd,1.0,9.968231,0.0,10.968231
2019,Jefferson Unincorporated,170,ResAgr,1.0,9.968231,0.25,11.218231
2019,Jefferson Unincorporated,170,ComInd,1.0,9.968231,0.25,11.218231
2019,Columbus,175,ResAgr,1.17,9.968231,0.0,11.138231
2019,Columbus,175,ComInd,1.17,9.968231,0.0,11.138231
2019,Gahanna,027,ResAgr,1.62,9.968231,0.0,11.588231
2019,Gahanna,027,ComInd,1.62,9.968231,0.0,11.588231
2019,Reynoldsburg,067,ResAgr,1.0,9.968231,0.0,10.968231
2019,Reynoldsburg,067,ComInd,1.0,9.968231,0.0,10.968231
2020,Jefferson Unincorporated,170,ResAgr,1.0,9.968231,0.25,11.218231
2020,Jefferson Unincorporated,170,ComInd,1.0,9.968231,0.25,11.218231
2020,Columbus,175,ResAgr,1.17,9.968231,0.0,11.138231
2020,Columbus,175,ComInd,1.17,9.968231,0.0,11.138231
2020,Gahanna,027,ResAgr,1.62,9.968231,0.0,11.588231
2020,Gahanna,027,ComInd,1.62,9.968231,0.0,11.588231
2020,Reynoldsburg,067,ResAgr,1.0,9.968231,0.0,10.968231
2020,Reynoldsburg,067,ComInd,1.0,9.968231,0.0,10.968231
2021,Jefferson Unincorporated,170,ResAgr,1.0,9.968231,0.25,11.218231
2021,Jefferson Unincorporated,170,ComInd,1.0,9.968231,0.25,11.218231
2021,Columbus,175,ResAgr,1.17,9.968231,0.0,11.138231
2021,Columbus,175,ComInd,1.17,9.968231,0.0,11.138231
2021,Gahanna,027,ResAgr,1.62,9.968231,0.0,11.588231
2021,Gahanna,027,ComInd,1.62,9.968231,0.0,11.588231
2021,Reynoldsburg,067,ResAgr,1.0,9.968231,0.0,10.968231
2021,Reynoldsburg,067,ComInd,1.0,9.968231,0.0,10.968231
2022,Jefferson Unincorporated,170,ResAgr,1.0,9.968231,0.25,11.218231
2022,Jefferson Unincorporated,170,ComInd,1.0,9.968231,0.25,11.218231
2022,Columbus,175,ResAgr,1.17,9.968231,0.0,11.138231
2022,Columbus,175,ComInd,1.17,9.968231,0.0,11.138231
2022,Gahanna,027,ResAgr,1.62,9.968231,0.0,11.588231
2022,Gahanna,027,ComInd,1.62,9.968231,0.0,11.588231
2022,Reynoldsburg,067,ResAgr,1.0,9.968231,0.0,10.968231
2022,Reynoldsburg,067,ComInd,1.0,9.968231,0.0,10.968231
2023,Jefferson Unincorporated,170,ResAgr,1.0,9.968231,0.25,11.218231
2023,Jefferson Unincorporated,170,ComInd,1.0,9.968231,0.25,11.218231
2023,Columbus,175,ResAgr,1.17,9.968231,0.0,11.138231
2023,Columbus,175,ComInd,1.17,9.968231,0.0,11.138231
2023,Gahanna,027,ResAgr,1.62,9.968231,0.0,11.588231
2023,Gahanna,027,ComInd,1.62,9.968231,0.0,11.588231
2023,Reynoldsburg,067,ResAgr,1.0,9.968231,0.0,10.968231
2023,Reynoldsburg,067,ComInd,1.0,9.968231,0.0,10.968231
2024,Jefferson Unincorporated,170,ResAgr,1.0,9.968231,0.25,11.218231
2024,Jefferson Unincorporated,170,ComInd,1.0,9.968231,0.25,11.218231
2024,Columbus,175,ResAgr,1.17,9.968231,0.0,11.138231
2024,Columbus,175,ComInd,1.17,9.968231,0.0,11.138231
2024,Gahanna,027,ResAgr,1.62,9.968231,0.0,11.588231
2024,Gahanna,027,ComInd,1.62,9.968231,0.0,11.588231
2024,Reynoldsburg,067,ResAgr,1.0,9.968231,0.0,10.968231
2024,Reynoldsburg,067,ComInd,1.0,9.968231,0.0,10.968231
