TaxYear,TaxDistrict,TIFProjectNum,TIFProjectName,TIFStatus,TIFStartYear,TIFEndYear,TIFPercentage,ParcelNumber,Library,JNVS,ParkDist,CityVillage,Township,School,TaxableLUC,TIFLUC,AppraisedLand,AppraisedImpr,AppraisedTotal,AssessedLand,AssessedImpr,AssessedTotal,Homesite,TaxRateType,FullRate,ReductionFactor,NonBusinessRate,OwnOccRate,EffectiveRate,EffRateCountyGen,EffRateChildren,EffRateADMH,EffRateFCBDD,EffRateParks,EffRateZoo,EffRateSenior,EffRateLibrary,EffRateJNVS,EffRateParkDist,EffRateCityVillage,EffRateTownship,EffRateSchools,EffRateCSCC,DivertedCountyGen,DivertedChildren,DivertedADMH,DivertedFCBDD,DivertedParks,DivertedZoo,DivertedSenior,DivertedLibrary,DivertedJNVS,DivertedParkDist,DivertedCityVillage,DivertedTownship,DivertedSchools,DivertedCSCC,DivertedTotal,TIFTotal,SourceFile,TIFJvs,TIFCityVillage,TIFTownship,TIFSchools
2018,027,90-147,GAHANNA MANOR HOMES,Active,2006,2035,100,027000055,COL.&FRANKLIN COUNTY PUB LIB D,EASTLAND JVSD,,GAHANNA CITY,JEFFERSON TWP,GAHANNA JEFFERSON CSD,510 - ONE-FAMILY DWLG ON PLATTED LOT,720,48200,404200,452400,16870,141470,158340,Yes,Res/Ag,116.06,0.337193,0.086377,0.021594,76.925446,1.47,4.325524,1.958873,6.232778,0.667797,0.621108,1.559296,2.505568,2,0,1.63,10.043704,43.910798,0,203.66,599.29,271.4,863.54,92.52,86.05,223.99,347.14,277.1,0,225.83,1444.17,0,0,4634.69,10865.26,TifDetails-TY2018-2025-05-22.xlsx,,,,
2018,027,90-147,GAHANNA MANOR HOMES,Active,2006,2035,100,027000056,COL.&FRANKLIN COUNTY PUB LIB D,EASTLAND JVSD,,GAHANNA CITY,JEFFERSON TWP,GAHANNA JEFFERSON CSD,510 - ONE-FAMILY DWLG ON PLATTED LOT,720,48200,449700,497900,16870,157400,174270,Yes,Res/Ag,116.06,0.337193,0.086377,0.021594,76.925446,1.47,4.325524,1.958873,6.232778,0.667797,0.621108,1.559296,2.505568,2,0,1.63,10.043704,43.910798,0,224.15,659.59,298.7,950.42,101.83,94.71,246.53,382.06,304.97,0,248.56,1589.45,0,0,5100.97,11958.36,TifDetails-TY2018-2025-05-22.xlsx,,,,
2018,027,90-147,GAHANNA MANOR HOMES,Active,2006,2035,100,027000057,COL.&FRANKLIN COUNTY PUB LIB D,EASTLAND JVSD,,GAHANNA CITY,JEFFERSON TWP,GAHANNA JEFFERSON CSD,510 - ONE-FAMILY DWLG ON PLATTED LOT,720,48000,428500,476500,16800,149980,166780,Yes,Res/Ag,116.06,0.337193,0.086377,0.021594,76.925446,1.47,4.325524,1.958873,6.232778,0.667797,0.621108,1.559296,2.505568,2,0,1.63,10.043704,43.910798,0,214.52,631.24,285.86,909.56,97.45,90.64,235.93,365.64,291.87,0,237.87,1521.15,0,0,4881.73,11444.4,TifDetails-TY2018-2025-05-22.xlsx,,,,
2018,027,90-147,GAHANNA MANOR HOMES,Active,2006,2035,100,027000059,COL.&FRANKLIN COUNTY PUB LIB D,EASTLAND JVSD,,GAHANNA CITY,JEFFERSON TWP,GAHANNA JEFFERSON CSD,510 - ONE-FAMILY DWLG ON PLATTED LOT,720,48100,394700,442800,16840,138150,154990,Yes,Res/Ag,116.06,0.337193,0.086377,0.021594,76.925446,1.47,4.325524,1.958873,6.232778,0.667797,0.621108,1.559296,2.505568,2,0,1.63,10.043704,43.910798,0,199.36,586.61,265.66,845.26,90.57,84.23,219.25,339.8,271.23,0,221.06,1413.61,0,0,4536.64,10635.38,TifDetails-TY2018-2025-05-22.xlsx,,,,
2018,027,90-147,GAHANNA MANOR HOMES,Active,2006,2035,100,027000060,COL.&FRANKLIN COUNTY PUB LIB D,EASTLAND JVSD,,GAHANNA CITY,JEFFERSON TWP,GAHANNA JEFFERSON CSD,510 - ONE-FAMILY DWLG ON PLATTED LOT,720,48100,456800,504900,16840,159880,176720,Yes,Res/Ag,116.06,0.337193,0.086377,0.021594,76.925446,1.47,4.325524,1.958873,6.232778,0.667797,0.621108,1.559296,2.505568,2,0,1.63,10.043704,43.910798,0,227.31,668.85,302.9,963.78,103.26,96.04,249.99,387.44,309.26,0,252.04,1611.8,0,0,5172.67,12126.46,TifDetails-TY2018-2025-05-22.xlsx,,,,
2018,027,90-147,GAHANNA MANOR HOMES,Active,2006,2035,100,027000067,COL.&FRANKLIN COUNTY PUB LIB D,EASTLAND JVSD,,GAHANNA CITY,JEFFERSON TWP,GAHANNA JEFFERSON CSD,510 - ONE-FAMILY DWLG ON PLATTED LOT,720,48300,468800,517100,16910,164080,180990,Yes,Res/Ag,116.06,0.337193,0.086377,0.021594,76.925446,1.47,4.325524,1.958873,6.232778,0.667797,0.621108,1.559296,2.505568,2,0,1.63,10.043704,43.910798,0,232.8,685.02,310.22,987.06,105.76,98.36,256.03,396.8,316.73,0,258.14,1650.75,0,0,5297.67,12419.5,TifDetails-TY2018-2025-05-22.xlsx,,,,
2018,027,90-147,GAHANNA MANOR HOMES,Active,2006,2035,100,027000068,COL.&FRANKLIN COUNTY PUB LIB D,EASTLAND JVSD,,GAHANNA CITY,JEFFERSON TWP,GAHANNA JEFFERSON CSD,510 - ONE-FAMILY DWLG ON PLATTED LOT,720,48300,576500,624800,16910,201780,218690,Yes,Res/Ag,116.06,0.337193,0.086377,0.021594,76.925446,1.47,4.325524,1.958873,6.232778,0.667797,0.621108,1.559296,2.505568,2,0,1.63,10.043704,43.910798,0,281.29,827.7,374.84,1192.66,127.79,118.85,309.37,479.45,382.7,0,311.91,1994.6,0,0,6401.16,15006.44,TifDetails-TY2018-2025-05-22.xlsx,,,,
2018,027,90-147,GAHANNA MANOR HOMES,Below Ceiling,2006,2035,100,027000072,COL.&FRANKLIN COUNTY PUB LIB D,EASTLAND JVSD,,GAHANNA CITY,JEFFERSON TWP,GAHANNA JEFFERSON CSD,,,,,,,,,,Res/Ag,116.06,0.337193,0.086377,0.021594,76.925446,1.47,4.325524,1.958873,6.232778,0.667797,0.621108,1.559296,2.505568,2,0,1.63,10.043704,43.910798,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TifDetails-TY2018-2025-05-22.xlsx,,,,
2018,027,90-147,GAHANNA MANOR HOMES,Below Ceiling,2006,2035,100,027000073,COL.&FRANKLIN COUNTY PUB LIB D,EASTLAND JVSD,,GAHANNA CITY,JEFFERSON TWP,GAHANNA JEFFERSON CSD,,,,,,,,,,Res/Ag,116.06,0.337193,0.086377,0.021594,76.925446,1.47,4.325524,1.958873,6.232778,0.667797,0.621108,1.559296,2.505568,2,0,1.63,10.043704,43.910798,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TifDetails-TY2018-2025-05-22.xlsx,,,,
2018,027,90-147,GAHANNA MANOR HOMES,Active,2006,2035,100,027000125,COL.&FRANKLIN COUNTY PUB LIB D,EASTLAND JVSD,,GAHANNA CITY,JEFFERSON TWP,GAHANNA JEFFERSON CSD,510 - ONE-FAMILY DWLG ON PLATTED LOT,720,46400,324200,370600,16240,113470,129710,Yes,Res/Ag,116.06,0.337193,0.086377,0.021594,76.925446,1.47,4.325524,1.958873,6.232778,0.667797,0.621108,1.559296,2.505568,2,0,1.63,10.043704,43.910798,0,166.84,490.94,222.33,707.4,75.79,70.49,183.48,284.37,227,0,185,1183.04,0,0,3796.68,8900.68,TifDetails-TY2018-2025-05-22.xlsx,,,,
