TaxYear,Municipality,TaxDistrict,PropertyClass,GeneralRate,FireRate,RoadRate,TotalTownshipMillage
2014,Jefferson Unincorporated,170,ResAgr,1,9.968231,0.25,11.218231
2014,Jefferson Unincorporated,170,ComInd,1,10.985198,0.25,12.235198
2014,Columbus,175,ResAgr,1.17,9.968231,0,11.138231
2014,Columbus,175,ComInd,1.17,10.985198,0,12.155198
2014,Gahanna,27,ResAgr,1.62,9.968231,0,11.588231
2014,Gahanna,27,ComInd,1.62,10.985198,0,12.605198
2014,Reynoldsburg,67,ResAgr,1,9.968231,0,10.968231
2014,Reynoldsburg,67,ComInd,1,10.985198,0,11.985198
2015,Jefferson Unincorporated,170,ResAgr,1,9.204195,3.049843,13.254038
2015,Jefferson Unincorporated,170,ComInd,1,9.967344,3.039038,14.006382
2015,Columbus,175,ResAgr,1.17,9.204195,0,10.374195
2015,Columbus,175,ComInd,1.17,9.967344,0,11.137344
2015,Gahanna,27,ResAgr,1.62,9.204195,0,10.824195
2015,Gahanna,27,ComInd,1.62,9.967344,0,11.587344
2015,Reynoldsburg,67,ResAgr,1,9.204195,0,10.204195
2015,Reynoldsburg,67,ComInd,1,9.967344,0,10.967344
2016,Jefferson Unincorporated,170,ResAgr,1,9.18797,3.045833,13.233803
2016,Jefferson Unincorporated,170,ComInd,1,10.105672,3.05,14.155672
2016,Columbus,175,ResAgr,1.17,9.18797,0,10.35797
2016,Columbus,175,ComInd,1.17,10.105672,0,11.275672
2016,Gahanna,27,ResAgr,1.62,9.18797,0,10.80797
2016,Gahanna,27,ComInd,1.62,10.105672,0,11.725672
2016,Reynoldsburg,67,ResAgr,1,9.18797,0,10.18797
2016,Reynoldsburg,67,ComInd,1,10.105672,0,11.105672
2017,Jefferson Unincorporated,170,ResAgr,1,8.219631,2.751469,11.9711
2017,Jefferson Unincorporated,170,ComInd,1,9.783333,2.814777,13.59811
2017,Columbus,175,ResAgr,1.17,8.219631,0,9.389631
2017,Columbus,175,ComInd,1.17,9.783333,0,10.953333
2017,Gahanna,27,ResAgr,1.62,8.219631,0,9.839631
2017,Gahanna,27,ComInd,1.62,9.783333,0,11.403333
2017,Reynoldsburg,67,ResAgr,1,8.219631,0,9.219631
2017,Reynoldsburg,67,ComInd,1,9.783333,0,10.783333
2018,Jefferson Unincorporated,170,ResAgr,1,8.223704,2.754328,11.978032
2018,Jefferson Unincorporated,170,ComInd,1,9.708166,2.79121,13.499376
2018,Columbus,175,ResAgr,1.17,8.223704,0,9.393704
2018,Columbus,175,ComInd,1.17,9.708166,0,10.878166
2018,Gahanna,27,ResAgr,1.62,8.223704,0,9.843704
2018,Gahanna,27,ComInd,1.62,9.708166,0,11.328166
2018,Reynoldsburg,67,ResAgr,1,8.223704,0,9.223704
