municipality,property_class,tax_year,taxable_value_part_1,taxable_value_part_2,taxable_value
Columbus,ResAgr,2014,4214470,0,4214470
Columbus,ResAgr,2015,4573250,0,4573250
Columbus,ResAgr,2016,5264870,0,5264870
Columbus,ResAgr,2017,6131530,0,6131530
Columbus,ResAgr,2018,7966660,0,7966660
Columbus,ResAgr,2019,9122090,0,9122090
Columbus,ResAgr,2020,12079200,0,12079200
Columbus,ResAgr,2021,12103750,0,12103750
Columbus,ResAgr,2022,12132270,0,12132270
Columbus,ResAgr,2023,17026390,0,17026390
Columbus,ResAgr,2024,17042400,0,17042400
Gahanna,ComInd,2014,457120,1650,458770
Gahanna,ComInd,2015,460340,1650,461990
Gahanna,ComInd,2016,651580,1650,653230
Gahanna,ComInd,2017,626240,1650,627890
Gahanna,ComInd,2018,1980250,1650,1981900
Gahanna,ComInd,2019,2238700,1650,2240350
Gahanna,ComInd,2020,2511240,1890,2513130
Gahanna,ComInd,2021,3015130,1890,3017020
Gahanna,ComInd,2022,3514270,603650,4117920
Gahanna,ComInd,2023,8013600,830240,8843840
Gahanna,ComInd,2024,5418120,546950,5965070
Gahanna,ResAgr,2014,2705600,98970,2804570
Gahanna,ResAgr,2015,2766850,98970,2865820
Gahanna,ResAgr,2016,2755050,98970,2854020
Gahanna,ResAgr,2017,2730400,99530,2829930
Gahanna,ResAgr,2018,2823610,99530,2923140
Gahanna,ResAgr,2019,3152540,99530,3252070
Gahanna,ResAgr,2020,4121040,89370,4210410
Gahanna,ResAgr,2021,4182260,8990,4191250
Gahanna,ResAgr,2022,4165320,0,4165320
Gahanna,ResAgr,2023,5379930,0,5379930
Gahanna,ResAgr,2024,5347560,0,5347560
Jefferson Unincorporated,ComInd,2014,18498090,36028230,54526320
Jefferson Unincorporated,ComInd,2015,8989220,11740430,20729650
Jefferson Unincorporated,ComInd,2016,8814320,8106700,16921020
Jefferson Unincorporated,ComInd,2017,9816490,9176010,18992500
Jefferson Unincorporated,ComInd,2018,15470630,9214410,24685040
Jefferson Unincorporated,ComInd,2019,11671440,9214410,20885850
Jefferson Unincorporated,ComInd,2020,12940970,10286530,23227500
Jefferson Unincorporated,ComInd,2021,13639040,10633240,24272280
Jefferson Unincorporated,ComInd,2022,13244310,10148800,23393110
Jefferson Unincorporated,ComInd,2023,26236970,12954810,39191780
Jefferson Unincorporated,ComInd,2024,16847860,12925410,29773270
Jefferson Unincorporated,ResAgr,2014,407807070,2731540,410538610
Jefferson Unincorporated,ResAgr,2015,389535970,2893880,392429850
Jefferson Unincorporated,ResAgr,2016,394781780,3114460,397896240
Jefferson Unincorporated,ResAgr,2017,448618560,3264290,451882850
Jefferson Unincorporated,ResAgr,2018,457955400,3368530,461323930
Jefferson Unincorporated,ResAgr,2019,477750550,5763030,483513580
Jefferson Unincorporated,ResAgr,2020,568049370,3308040,571357410
Jefferson Unincorporated,ResAgr,2021,585038010,3641900,588679910
Jefferson Unincorporated,ResAgr,2022,576718700,3603720,580322420
Jefferson Unincorporated,ResAgr,2023,768096650,4056820,772153470
Jefferson Unincorporated,ResAgr,2024,763057600,3177510,766235110
Reynoldsburg,ComInd,2014,8723060,24367000,33090060
Reynoldsburg,ComInd,2015,8243170,24367000,32610170
Reynoldsburg,ComInd,2016,8243170,24395040,32638210
Reynoldsburg,ComInd,2017,10733250,24531500,35264750
Reynoldsburg,ComInd,2018,14170450,24531500,38701950
Reynoldsburg,ComInd,2019,15314850,24531500,39846350
Reynoldsburg,ComInd,2020,17743950,25936270,43680220
Reynoldsburg,ComInd,2021,13750060,25936240,39686300
Reynoldsburg,ComInd,2022,13750060,25936240,39686300
Reynoldsburg,ComInd,2023,11455830,24531550,35987380
Reynoldsburg,ComInd,2024,11455830,24531550,35987380
Reynoldsburg,ResAgr,2014,16729200,0,16729200
Reynoldsburg,ResAgr,2015,16778790,0,16778790
Reynoldsburg,ResAgr,2016,16785700,0,16785700
Reynoldsburg,ResAgr,2017,19159550,0,19159550
Reynoldsburg,ResAgr,2018,19096040,0,19096040
Reynoldsburg,ResAgr,2019,19155550,0,19155550
Reynoldsburg,ResAgr,2020,23725480,0,23725480
Reynoldsburg,ResAgr,2021,23762440,0,23762440
Reynoldsburg,ResAgr,2022,23810850,0,23810850
Reynoldsburg,ResAgr,2023,33284200,0,33284200
Reynoldsburg,ResAgr,2024,33195740,0,33195740
