ParcelNumber,DivertedTownship_2022,DivertedTownship_2023,DivertedTownship_2024,DivertedParks_2022,DivertedParks_2023,DivertedParks_2024,DivertedCityVillage_2022,DivertedCityVillage_2023,DivertedCityVillage_2024,DivertedZoo_2022,DivertedZoo_2023,DivertedZoo_2024,DivertedChildren_2022,DivertedChildren_2023,DivertedChildren_2024,DivertedLibrary_2022,DivertedLibrary_2023,DivertedLibrary_2024,PctChange_Township_22_23,PctChange_Township_23_24
027-000030,1964.23,1875.6699999999998,1884.27,156.64,132.67,132.98000000000002,283.74,339,339,89.61,75.9,76.08,624.07,528.57,672.41,359.46,546.54,547.91,-4.5,0.5
027-000031,1938.6599999999999,1713.03,1720.8799999999999,154.6,121.16999999999999,121.45,280.06,309.6,309.6,88.44000000000001,69.32,69.48,615.9399999999999,482.74,614.12,354.78,499.15000000000003,500.4,-11.6,0.5
027-000032,1600.99,1661.35,1668.96,127.67999999999999,117.51,117.79,231.29,300.26,300.26,73.04,67.23,67.38,508.66,468.17,595.59,292.98999999999995,484.09,485.3,3.8,0.5
027-000033,1961.76,1798.34,1806.58,156.45000000000002,127.2,127.5,283.4,325.03,325.03,89.5,72.77,72.94000000000001,623.2800000000001,506.78,644.7,359.01,524.01,525.3199999999999,-8.3,0.5
027-000034,1806.26,1690.61,1698.36,144.05,119.58,119.86,260.92999999999995,305.56,305.56,82.4,68.41000000000001,68.57,573.88,476.42999999999995,606.08,330.55,492.62,493.85,-6.4,0.5
027-000035,1726.49,1538.23,1613.78,137.68,108.8,113.89,249.4,278.02,290.35,78.77,62.24,65.16,548.54,433.48999999999995,575.89,315.95,448.21999999999997,469.25,-10.9,4.9
027-000036,2204.74,1770.48,1776.46,175.82000000000002,125.23,125.36999999999999,318.5,319.98999999999995,319.6,100.58,71.64,71.72,700.49,498.92999999999995,633.9399999999999,403.46999999999997,515.9,516.56,-19.7,0.3
027-000037,2482.8500000000004,1784.84,1793.03,198,126.25,126.54,358.67,322.58,322.59,113.27,72.22,72.39,788.8399999999999,502.96999999999997,639.8599999999999,454.37,520.07,521.37,-28.1,0.5
027-000038,1790.07,1713.03,1720.8799999999999,142.75,121.16999999999999,121.45,258.59,309.6,309.6,81.66999999999999,69.32,69.48,568.74,482.74,614.12,327.59,499.15000000000003,500.4,-4.3,0.5
027-000039,1545.42,1268.36,1274.1799999999998,123.24000000000001,89.72,89.92,223.25,229.23999999999998,229.23999999999998,70.51,51.32,51.44,491,357.41999999999996,454.71,282.82,369.59,370.5,-17.9,0.5
027-000040,1578.8899999999999,1623.78,1631.23,125.91000000000001,114.85,115.11999999999999,228.09,293.46999999999997,293.46999999999997,72.03,65.71000000000001,65.86,501.64000000000004,457.59,582.12,288.94,473.15000000000003,474.32,2.8,0.5
027-000041,1433.84,1346.25,1347.42,114.35,95.22,95.09,207.13,243.32000000000002,242.42000000000002,65.41000000000001,54.47,54.4,455.57,379.38,480.84000000000003,262.4,392.28,391.81,-6.1,0.1
027-000042,1819.4,1595.6,1602.93,145.09,112.86,113.13,262.83,288.39,288.39,83,64.56,64.72,578.05,449.65000000000003,572.02,332.95,464.94,466.1,-12.3,0.5
027-000043,2049.54,1718.24,1726.11,163.44,121.54,121.82,296.08,310.55,310.55,93.5,69.53,69.69,651.1700000000001,484.2,615.98,375.07,500.67,501.91999999999996,-16.2,0.5
027-000044,1676.04,1614.94,1622.35,133.66,114.23,114.5,242.12,291.88,291.88,76.46000000000001,65.35,65.5,532.51,455.1,578.9499999999999,306.71999999999997,470.57,471.74,-3.6,0.5
027-000045,1692.92,1368.02,1374.3,135.01,96.76,96.99000000000001,244.56,247.26,247.26,77.23,55.36,55.49,537.87,385.52,490.42999999999995,309.81,398.62,399.62,-19.2,0.5
027-000046,1664.58,1419.3899999999999,1425.91,132.75,100.4,100.63,240.47,256.54,256.54,75.94000000000001,57.44,57.57,528.87,399.98999999999995,508.85,304.62,413.59,414.63,-14.7,0.5
027-000047,2481.4700000000003,1819.08,1827.43,197.89000000000001,128.67,128.97,358.47999999999996,328.77,328.77,113.21000000000001,73.61,73.78,788.4,512.62,652.14,454.12,530.06,531.38,-26.7,0.5
027-000048,1731.23,1702.78,1710.58,138.06,120.44000000000001,120.72,250.09,307.75,307.75,78.98,68.9,69.06,550.05,479.84000000000003,610.4399999999999,316.82,496.17,497.4,-1.6,0.5
027-000049,1876.75,1537.84,1544.8899999999999,149.67,108.78,109.03,271.12,277.95,277.95,85.61999999999999,62.230000000000004,62.37,596.2800000000001,433.36,551.31,343.45,448.11,449.21999999999997,-18.1,0.5
027-000050,1774.07,1362.74,1368.99,141.48000000000002,96.39,96.61999999999999,256.28999999999996,246.3,246.3,80.94000000000001,55.14,55.27,563.65,384.03,488.54,324.66,397.08,398.07,-23.2,0.5
027-000051,2137.98,1593.3899999999999,1600.71,170.5,112.71000000000001,112.97,308.85,287.98999999999995,287.98999999999995,97.54,64.48,64.63,679.2700000000001,449.02,571.23,391.26,464.28999999999996,465.45,-25.5,0.5
027-000052,1463.1599999999999,1429.6499999999999,1436.21,116.69,101.11999999999999,101.36,211.37,258.4,258.4,66.75,57.849999999999994,57.99,464.88,402.88,512.52,267.77,416.59,417.62,-2.3,0.5
027-000053,1921.98,1743.09,1751.09,153.26999999999998,123.3,123.58,277.65000000000003,315.04,315.04,87.67999999999999,70.53,70.7,610.65,491.21999999999997,624.89,351.72999999999996,507.91999999999996,509.18,-9.3,0.5
027-000054,1790.6599999999999,1416.87,1423.36,142.8,100.22,100.45,258.68,256.08,256.08,81.69,57.33,57.47,568.93,399.28,507.95,327.7,412.86,413.88,-20.9,0.5
027-000055,1888.79,1432.34,1438.9,150.63,101.31,101.55,272.86,258.88,258.88,86.16999999999999,57.96,58.09,600.1,403.64000000000004,513.49,345.66,417.36,418.4,-24.2,0.5
027-000056,2065.73,1680.91,1830.6799999999998,164.73999999999998,118.9,129.2,298.40999999999997,303.8,329.37,94.24000000000001,68.02,73.91000000000001,656.3199999999999,473.68,653.3,378.03,489.8,532.3199999999999,-18.6,8.9
