TaxYear,Municipality,Total_Lost_General,Total_Lost_Fire,Total_Lost_Road,Total_Lost_Township
2014,Gahanna City,466.37535554652584,2367.4882786468916,0,2833.95
2014,Jefferson Unincorporated,0,0,0,2006.84
2015,Gahanna City,429.7328118650955,2181.477607984559,0,2611.29
2015,Jefferson Unincorporated,0,0,0,1559.25
2016,Gahanna City,431.11353108492483,2188.486633075985,0,2619.68
2016,Jefferson Unincorporated,0,0,0,14930.33
2017,Gahanna City,417.9744819179196,2121.788115400244,0,2539.84
2017,Jefferson Unincorporated,0,0,0,12235.91
2018,Gahanna City,310.0907761072735,1574.131799674929,0,1884.28
2018,Jefferson Unincorporated,0,0,0,11679.68
2019,Gahanna City,313.026655830963,1589.035376269809,0,1902.12
2019,Jefferson Unincorporated,0,0,0,11772.73
2020,Gahanna City,570.9874644453475,2898.5367971353107,0,3469.63
2020,Jefferson Unincorporated,0,0,0,11761.33
2021,Gahanna City,2120.9558715969124,10766.731358797237,0,12888.080000000002
2021,Jefferson Unincorporated,0,0,0,7213.13
2022,Gahanna City,2459.9216172287693,12487.442841731003,0,14947.82
2022,Jefferson Unincorporated,0,0,0,6376.27
2023,Gahanna City,7318.236448598132,37149.988322429905,0,44469.58
2023,Jefferson Unincorporated,0,0,0,2602.59
2024,Gahanna City,22776.707943925234,115622.72414719625,0,138403.65
2024,Jefferson Unincorporated,0,0,0,3894.84
