TaxYear,Total_Lost_General,Total_Lost_Fire,Total_Lost_Road,Total_Lost_Township
2014,0,0,0,4840.79
2015,0,0,0,4170.54
2016,0,0,0,17550.01
2017,0,0,0,14775.75
2018,310.0907761072735,1574.131799674929,0,13563.960000000001
2019,356.3179059370082,1808.797261144552,0,13674.849999999999
2020,536.8669108330901,2725.3286509988166,0,15230.96
2021,2475.71584160353,12567.619979379597,0,20101.21
2022,2034.9133109243699,10329.948515462182,0,21324.09
2023,6583.12405044136,33418.29460099667,0,47072.17
2024,19965.099129648712,101349.99118055067,0,142298.49
