TaxYear,Municipality,Total_Lost_General,Total_Lost_Fire,Total_Lost_Road,Total_Lost_Township
2014,Columbus,0,0,0,2006.84
2014,Gahanna,0,0,0,2833.95
2015,Columbus,0,0,0,1559.25
2015,Gahanna,0,0,0,2611.29
2016,Columbus,0,0,0,14930.33
2016,Gahanna,0,0,0,2619.68
2017,Columbus,0,0,0,12235.91
2017,Gahanna,0,0,0,2539.84
2018,Columbus,0,0,0,11679.68
2018,Gahanna,310.0907761072735,1574.131799674929,0,1884.28
2019,Columbus,0,0,0,11772.73
2019,Gahanna,356.3179059370082,1808.797261144552,0,1902.12
2020,Columbus,0,0,0,11761.33
2020,Gahanna,536.8669108330901,2725.3286509988166,0,3469.63
2021,Columbus,0,0,0,7213.13
2021,Gahanna,2475.71584160353,12567.619979379597,0,12888.080000000002
2022,Columbus,0,0,0,6376.27
2022,Gahanna,2034.9133109243699,10329.948515462182,0,14947.82
2023,Columbus,0,0,0,2602.59
2023,Gahanna,6583.12405044136,33418.29460099667,0,44469.58
2024,Columbus,0,0,0,3894.84
2024,Gahanna,19965.099129648712,101349.99118055067,0,138403.65
