TaxYear,Municipality,Fund,Abatement_Loss
2014,Gahanna,General,396.17772548717744
2014,Gahanna,Fire,2437.772274512822
2014,Gahanna,Road,0
2014,Jefferson Unincorporated,General,178.89094991893106
2014,Jefferson Unincorporated,Fire,1783.226312601336
2014,Jefferson Unincorporated,Road,44.722737479732764
2015,Gahanna,General,390.8179592108236
2015,Gahanna,Fire,2220.4720407891764
2015,Gahanna,Road,0
2015,Jefferson Unincorporated,General,117.64339290410967
2015,Jefferson Unincorporated,Fire,1082.812728751042
2015,Jefferson Unincorporated,Road,358.79387834484857
2016,Gahanna,General,392.6622298174403
2016,Gahanna,Fire,2227.0177701825596
2016,Gahanna,Road,0
2016,Jefferson Unincorporated,General,1128.1964829006447
2016,Jefferson Unincorporated,Fire,10365.835438996637
2016,Jefferson Unincorporated,Road,3436.2980781027195
2017,Gahanna,General,418.1600712465742
2017,Gahanna,Fire,2121.679928753426
2017,Gahanna,Road,0
2017,Jefferson Unincorporated,General,1022.1207741978598
2017,Jefferson Unincorporated,Fire,8401.45560134073
2017,Jefferson Unincorporated,Road,2812.3336244614115
2018,Gahanna,General,310.1001005312634
2018,Gahanna,Fire,1574.1798994687365
2018,Gahanna,Road,0
2018,Jefferson Unincorporated,General,975.0917346021449
2018,Jefferson Unincorporated,Fire,8018.865798214597
2018,Jefferson Unincorporated,Road,2685.722467183257
2019,Gahanna,General,316.78827524310924
2019,Gahanna,Fire,1585.3317247568907
2019,Gahanna,Road,0
2019,Jefferson Unincorporated,General,995.6729141577989
2019,Jefferson Unincorporated,Fire,8072.029839097834
2019,Jefferson Unincorporated,Road,2705.0272467443674
2020,Gahanna,General,659.8738998580886
2020,Gahanna,Fire,2809.7561001419117
2020,Gahanna,Road,0
2020,Jefferson Unincorporated,General,1146.8670180597478
2020,Jefferson Unincorporated,Fire,7911.079515639996
2020,Jefferson Unincorporated,Road,2703.383466300257
2021,Gahanna,General,2459.047123034627
2021,Gahanna,Fire,10429.032876965375
2021,Gahanna,Road,0
2021,Jefferson Unincorporated,General,705.8549184567803
2021,Jefferson Unincorporated,Fire,4849.619274407335
2021,Jefferson Unincorporated,Road,1657.6558071358859
2022,Gahanna,General,2312.9238411845304
2022,Gahanna,Fire,12634.896158815469
2022,Gahanna,Road,0
2022,Jefferson Unincorporated,General,523.1769642530845
2022,Jefferson Unincorporated,Fire,4629.925174047846
2022,Jefferson Unincorporated,Road,1223.16786169907
2023,Gahanna,General,8580.847487203006
2023,Gahanna,Fire,35888.732512796996
2023,Gahanna,Road,0
2023,Jefferson Unincorporated,General,270.250709221331
2023,Jefferson Unincorporated,Fire,1831.090436596859
2023,Jefferson Unincorporated,Road,501.2488541818098
2024,Gahanna,General,26586.435593257516
2024,Gahanna,Fire,111817.21440674245
2024,Gahanna,Road,0
2024,Jefferson Unincorporated,General,402.45999440149467
2024,Jefferson Unincorporated,Fire,2742.1189135551717
2024,Jefferson Unincorporated,Road,750.2610920433335
