TaxYear,Municipality,Total_Lost_General,Total_Lost_Fire,Total_Lost_Road,Total_Lost_Township
2014,Columbus,0,0,0,0
2014,Gahanna,0,0,0,0
2015,Columbus,0,0,0,0
2015,Gahanna,0,0,0,0
2016,Columbus,0,0,0,0
2016,Gahanna,0,0,0,0
2017,Columbus,0,0,0,0
2017,Gahanna,0,0,0,0
2018,Columbus,0,0,0,0
2018,Gahanna,0,0,0,0
2018,Jefferson Unincorporated,578.13,4754.367680999999,1447.8109590000001,6780.308639999999
2019,Columbus,0,0,0,0
2019,Gahanna,0,0,0,0
2019,Jefferson Unincorporated,1951.88,16051.675555999998,4888.093084,22891.64864
2019,Reynoldsburg,729.37,5998.120068999999,0,6727.490068999999
2020,Columbus,0,0,0,0
2020,Gahanna,0,0,0,0
2020,Jefferson Unincorporated,582.09,4786.933532999999,1457.7279870000002,6826.75152
2020,Reynoldsburg,3469.5,28532.127149999997,0,32001.627149999997
2021,Columbus,0,0,0,0
2021,Gahanna,0,0,0,0
2021,Jefferson Unincorporated,6348.38,52207.17260599999,15898.248034,74453.80063999999
2021,Reynoldsburg,4018.64,33048.089768,0,37066.729768
2022,Columbus,0,0,0,0
2022,Gahanna,0,0,0,0
2022,Jefferson Unincorporated,4157.73,34191.924200999994,10412.203239,48761.85744
2022,Reynoldsburg,4018.64,33048.089768,0,37066.729768
2023,Columbus,0,0,0,0
2023,Gahanna,0,0,0,0
2023,Jefferson Unincorporated,4711.110000000001,38742.75530699999,11798.032773,55251.89807999999
2023,Reynoldsburg,13227.61,108779.89635699998,0,122007.50635699998
2024,Columbus,0,0,0,0
2024,Gahanna,0,0,0,0
2024,Jefferson Unincorporated,140.77,1157.6502489999998,352.53031100000004,1650.9505599999998
2024,Reynoldsburg,12920.07,106250.77965899998,0,119170.84965899997
