TaxYear,Municipality,Fund,TIF_Loss
2014,Columbus,General,10723.488334907042
2014,Columbus,Fire,91362.57166509295
2014,Columbus,Road,0
2014,Gahanna,General,9778.175685313832
2014,Gahanna,Fire,60167.35431468616
2014,Gahanna,Road,0
2015,Columbus,General,10755.828649837407
2015,Columbus,Fire,84614.31135016259
2015,Columbus,Road,0
2015,Gahanna,General,11495.246454817196
2015,Gahanna,Fire,65311.41354518281
2015,Gahanna,Road,0
2016,Columbus,General,10636.493125583487
2016,Columbus,Fire,83528.01687441651
2016,Columbus,Road,0
2016,Gahanna,General,13247.862568086328
2016,Gahanna,Fire,75136.39743191366
2016,Gahanna,Road,0
2017,Columbus,General,12503.030342725928
2017,Columbus,Fire,87837.85965727408
2017,Columbus,Road,0
2017,Gahanna,General,14244.634417693102
2017,Gahanna,Fire,72275.08558230689
2017,Gahanna,Road,0
2017,Jefferson Unincorporated,General,0
2017,Jefferson Unincorporated,Fire,0
2017,Jefferson Unincorporated,Road,0
2018,Columbus,General,12436.739607720236
2018,Columbus,Fire,87415.44039227976
2018,Columbus,Road,0
2018,Gahanna,General,14384.329252484637
2018,Gahanna,Fire,73020.04074751538
2018,Gahanna,Road,0
2018,Jefferson Unincorporated,General,4381.340030231375
2018,Jefferson Unincorporated,Fire,42137.30517939225
2018,Jefferson Unincorporated,Road,12219.36479037638
2019,Columbus,General,12443.699783661074
2019,Columbus,Fire,86224.31021633893
2019,Columbus,Road,0
2019,Gahanna,General,14393.53806012269
2019,Gahanna,Fire,72030.86193987732
2019,Gahanna,Road,0
2019,Jefferson Unincorporated,General,14881.307626805965
2019,Jefferson Unincorporated,Fire,132544.6555676726
2019,Jefferson Unincorporated,Road,40947.176805521434
2019,Reynoldsburg,General,0
2019,Reynoldsburg,Fire,0
2019,Reynoldsburg,Road,0
2020,Columbus,General,14877.202828163438
2020,Columbus,Fire,87711.81717183656
2020,Columbus,Road,0
2020,Gahanna,General,16764.465357563146
2020,Gahanna,Fire,71383.42464243686
2020,Gahanna,Road,0
2020,Jefferson Unincorporated,General,22745.263190139176
2020,Jefferson Unincorporated,Fire,168744.03371107986
2020,Jefferson Unincorporated,Road,54634.78309878094
2020,Reynoldsburg,General,0
2020,Reynoldsburg,Fire,0
2020,Reynoldsburg,Road,0
2021,Columbus,General,14670.910201415049
2021,Columbus,Fire,86151.60979858495
2021,Columbus,Road,0
2021,Gahanna,General,16516.67857989596
2021,Gahanna,Fire,70048.67142010404
2021,Gahanna,Road,0
2021,Jefferson Unincorporated,General,36949.455438289384
2021,Jefferson Unincorporated,Fire,281800.3842993468
2021,Jefferson Unincorporated,Road,88449.00026236378
2021,Reynoldsburg,General,0
2021,Reynoldsburg,Fire,0
2021,Reynoldsburg,Road,0
2022,Columbus,General,15303.525757175787
2022,Columbus,Fire,115752.66424282422
2022,Columbus,Road,0
2022,Gahanna,General,17197.213618239795
2022,Gahanna,Fire,93943.86638176019
2022,Gahanna,Road,0
2022,Jefferson Unincorporated,General,62304.05505927719
2022,Jefferson Unincorporated,Fire,573736.7547141024
2022,Jefferson Unincorporated,Road,147270.19022662038
2022,Reynoldsburg,General,2047.609521572974
2022,Reynoldsburg,Fire,22671.470478427025
2022,Reynoldsburg,Road,0
2023,Columbus,General,17388.23039383804
2023,Columbus,Fire,100696.05960616196
2023,Columbus,Road,0
2023,Gahanna,General,9041.834572584801
2023,Gahanna,Fire,37816.7754274152
2023,Gahanna,Road,0
2023,Jefferson Unincorporated,General,86032.31165809339
2023,Jefferson Unincorporated,Fire,604680.5988432323
2023,Jefferson Unincorporated,Road,160288.51949867434
2023,Reynoldsburg,General,9440.204902918325
2023,Reynoldsburg,Fire,90723.13509708167
2023,Reynoldsburg,Road,0
2024,Columbus,General,21678.895419805736
2024,Columbus,Fire,126245.19458019428
2024,Columbus,Road,0
2024,Gahanna,General,19102.330437504705
2024,Gahanna,Fire,80340.56956249528
2024,Gahanna,Road,0
2024,Jefferson Unincorporated,General,112776.4470515437
2024,Jefferson Unincorporated,Fire,789095.1499831217
2024,Jefferson Unincorporated,Road,210903.36296533456
2024,Reynoldsburg,General,12920.069154862937
2024,Reynoldsburg,Fire,124764.74084513706
2024,Reynoldsburg,Road,0
