TaxYear,Municipality,Fund,TIF_Loss,Abatement_Loss,Total_Loss
2024,Columbus,Fire,133970.35507205,0,133970.35507205
2024,Columbus,General,23005.4643,0,23005.4643
2024,Columbus,Road,0,0,0
2024,Gahanna,Fire,85685.18738604999,111817.21440674244,197502.40179279243
2024,Gahanna,General,20373.1038,26586.435593257516,46959.53939325752
2024,Gahanna,Road,0,0,0
2024,Jefferson Unincorporated,Fire,825438.45282794,2742.1189135551717,828180.5717414952
2024,Jefferson Unincorporated,General,118110.545,402.4599944014946,118513.00499440149
2024,Jefferson Unincorporated,Road,220847.123918575,750.2610920433335,221597.38501061834
2024,Reynoldsburg,Fire,124764.12132331,0,124764.12132331
2024,Reynoldsburg,General,12920.005,0,12920.005
2024,Reynoldsburg,Road,0,0,0
