tax_year,property_class,total_township_taxable_value,tif_township_assessed_impr,tif_share_of_base
2014,ComInd,88075150,0,0
2015,ComInd,53801810,0,0
2016,ComInd,50212460,0,0
2017,ComInd,54885140,0,0
2018,ComInd,65368890,3748120,0.05733797835637105
2019,ComInd,62972550,6734140,0.10693770539703411
2020,ComInd,69420850,7225850,0.10408760480460841
2021,ComInd,66975600,13565890,0.20254973453018713
2022,ComInd,67197330,11557520,0.17199373844169105
2023,ComInd,84023000,19275640,0.2294090903681135
2024,ComInd,71725720,14730580,0.2053737487751953
2014,ResAgr,434286850,12968490,0.029861576513311422
2015,ResAgr,416647710,14029100,0.033671371912736545
2016,ResAgr,422800830,15128110,0.035780700808936444
2017,ResAgr,480003860,18602900,0.03875573000600453
2018,ResAgr,491309770,22320980,0.04543158179003849
2019,ResAgr,515043290,26180520,0.05083168834215858
2020,ResAgr,611372500,39058440,0.06388648491713317
2021,ResAgr,628737350,48624010,0.07733596548701935
2022,ResAgr,620430860,69515080,0.11204323395519043
2023,ResAgr,827843990,104751210,0.12653496463747957
2024,ResAgr,821820810,115291400,0.14028775932310597
