Municipality,TaxYear,Estimated_Loss,TIF_AssessedImpr
Columbus,2014,83120.19387581,8338510.0
Columbus,2015,76528.18728555,8314490.0
Columbus,2016,76307.37716579999,8305140.0
Columbus,2017,83643.70482279,10176090.0
Columbus,2018,83689.42836344,10176610.0
Columbus,2019,82596.85810200001,10188200.0
Columbus,2020,84184.68090616,12204230.0
Columbus,2021,84097.86521952,12240320.0
Columbus,2022,108344.31137799998,12242800.0
Columbus,2023,110519.17930325,16311530.0
Columbus,2024,111240.6649502,16326760.0
Gahanna,2014,46152.71016537999,4629980.0
Gahanna,2015,52598.384788949996,5714610.0
Gahanna,2016,62689.2436709,6822970.0
Gahanna,2017,69265.26870711,8426810.0
Gahanna,2018,70480.26828752,8570380.0
Gahanna,2019,69541.0870869,8577790.0
Gahanna,2020,69060.55752648001,10011690.0
Gahanna,2021,68791.42330689,10012490.0
Gahanna,2022,88828.12281614999,10037490.0
Gahanna,2023,70990.29216649999,10477460.0
Gahanna,2024,71682.97932155,10520890.0
Jefferson Unincorporated,2018,65778.80700688,7322110.0
Jefferson Unincorporated,2019,124435.48051118999,13966740.0
Jefferson Unincorporated,2020,165447.45139614,22388870.0
Jefferson Unincorporated,2021,286724.59707772,37691260.0
Jefferson Unincorporated,2022,521111.21891049994,56546480.0
Jefferson Unincorporated,2023,629338.80883391,88482590.0
Jefferson Unincorporated,2024,663273.56287795,94726600.0
Reynoldsburg,2019,1786.06302637,181930.0
Reynoldsburg,2020,14918.894370999999,1679500.0
Reynoldsburg,2021,20938.41658086,2245830.0
Reynoldsburg,2022,24866.20032195,2245830.0
Reynoldsburg,2023,84140.70999411,8755270.0
Reynoldsburg,2024,81576.87327726,8447730.0
