tax_year,municipality,fund,estimated_loss
2014,Columbus,Fire,81272.10022493878
2014,Gahanna,Fire,45126.55121831862
2015,Columbus,Fire,74609.5762708262
2015,Gahanna,Fire,51279.70935716155
2016,Columbus,Fire,74274.45821626949
2016,Gahanna,Fire,61019.12793473202
2017,Columbus,Fire,81230.05713543892
2017,Gahanna,Fire,67266.52945969306
2017,Jefferson Unincorporated,Fire,0
2017,Jefferson Unincorporated,Road,0
2018,Columbus,Fire,80858.4721336643
2018,Gahanna,Fire,68096.13735860112
2018,Jefferson Unincorporated,Fire,63572.0909100759
2018,Jefferson Unincorporated,Road,19482.6219350146
2019,Columbus,Fire,79470.75888534242
2019,Gahanna,Fire,66909.11847618828
2019,Jefferson Unincorporated,Fire,118162.856025038
2019,Jefferson Unincorporated,Road,36036.72707876428
2019,Reynoldsburg,Fire,1675.0652630888228
2020,Columbus,Fire,80180.19509688024
2020,Gahanna,Fire,65775.49402538997
2020,Jefferson Unincorporated,Fire,156940.80891074307
2020,Jefferson Unincorporated,Road,50758.96975282318
2020,Reynoldsburg,Fire,14016.446259992093
2021,Columbus,Fire,79255.34794430272
2021,Gahanna,Fire,64830.280477867535
2021,Jefferson Unincorporated,Fire,263868.40534490783
2021,Jefferson Unincorporated,Road,81981.89112863426
2021,Reynoldsburg,Fire,18473.727729702536
2022,Columbus,Fire,99305.80966830713
2022,Gahanna,Fire,81417.73707710132
2022,Jefferson Unincorporated,Fire,475933.86136557953
2022,Jefferson Unincorporated,Road,121969.41731279826
2022,Reynoldsburg,Fire,22380.729606112935
2023,Columbus,Fire,100106.7301262304
2023,Gahanna,Fire,64302.015851877404
2023,Jefferson Unincorporated,Fire,566092.4793607716
2023,Jefferson Unincorporated,Road,148832.74220785892
2023,Reynoldsburg,Fire,72923.02135552967
2024,Columbus,Fire,99621.14862968816
2024,Gahanna,Fire,64195.41577181264
2024,Jefferson Unincorporated,Fire,593088.1611558007
2024,Jefferson Unincorporated,Road,159602.05384588471
2024,Reynoldsburg,Fire,71840.46958973189
