TaxYear,Municipality,Total_Lost_General,Total_Lost_Fire,Total_Lost_Road,Total_Lost_Township
2014,Columbus City,11505.1833,80867.67171299999,0,92372.855013
2014,Gahanna City,10660.6368,54117.209167999994,0,64777.845967999994
2015,Columbus City,11477.0799,80670.13843899999,0,92147.21833899998
2015,Gahanna City,12449.5542,63198.39436699999,0,75647.94856699998
2016,Columbus City,11466.1404,80593.246844,0,92059.38724399998
2016,Gahanna City,14250.427200000002,72340.27047199999,0,86590.697672
2017,Columbus City,13427.622000000001,94380.11541999999,0,107807.73741999999
2017,Gahanna City,15321.328200000002,77776.54735699999,0,93097.87555699999
2017,Jefferson Unincorporated,304.47,2503.8699389999997,0,2808.3399389999995
2018,Columbus City,13428.2304,94384.39174399998,0,107812.622144
2018,Gahanna City,15553.911600000001,78957.22396599999,0,94511.13556599998
2018,Jefferson Unincorporated,7627.52,62726.43622399999,10398.154116,80752.11033999998
2019,Columbus City,13441.7907,94479.70442699999,0,107921.49512699999
2019,Gahanna City,15565.9158,79018.161583,0,94584.07738299998
2019,Jefferson Unincorporated,16746.66,137719.507842,29653.215956,184119.38379799997
2019,Reynoldsburg City,729.37,5998.120068999999,0,6727.4900689999995
2020,Columbus City,16159.2093,113579.90557299998,0,129739.11487299998
2020,Gahanna City,18233.197200000002,92558.23692199998,0,110791.43412199999
2020,Jefferson Unincorporated,26648.24,219147.13128799998,51942.913407,297738.284695
2020,Reynoldsburg City,3469.5,28532.127149999997,0,32001.627149999993
2021,Columbus City,16199.2233,113861.15611299998,0,130060.37941299999
2021,Gahanna City,18234.4932,92564.81588199998,0,110799.30908199999
2021,Jefferson Unincorporated,45128.61,371124.15005699993,98223.303998,514476.06405499997
2021,Reynoldsburg City,4018.64,33048.089768,0,37066.729768
2022,Columbus City,16202.1249,113881.55088899998,0,130083.67578899999
2022,Gahanna City,18274.9932,92770.40838199998,0,111045.40158199999
2022,Jefferson Unincorporated,69395.56,570688.2667719999,158995.026883,799078.8536549999
2022,Reynoldsburg City,4018.64,33048.089768,0,37066.729768
2023,Columbus City,22988.6397,161582.62931699998,0,184571.26901699998
2023,Gahanna City,20303.298000000003,103066.80972999998,0,123370.10772999999
2023,Jefferson Unincorporated,111621.04000000001,917937.9466479998,261648.788183,1291207.7748309998
2023,Reynoldsburg City,13227.61,108779.89635699998,0,122007.50635699998
2024,Columbus City,23006.4588,161707.87626799996,0,184714.335068
2024,Gahanna City,20373.6546,103423.96502099998,0,123797.61962099999
2024,Jefferson Unincorporated,117862.48,969265.6767759998,277279.226375,1364407.383151
2024,Reynoldsburg City,12920.07,106250.77965899998,0,119170.84965899998
