TaxYear,Total_Lost_General,Total_Lost_Fire,Total_Lost_Road,Total_Lost_Township
2014,0,0,0,4840.79
2015,0,0,0,4170.54
2016,0,0,0,17550.01
2017,0,0,0,14775.75
2018,888.2207761072734,6328.499480674927,1447.810959,20344.26864
2019,3037.567905937008,23858.59288614455,4888.093084,43293.988709
2020,4588.456910833091,36044.38933399881,1457.7279870000002,54059.33867
2021,12842.735841603531,97822.88235337958,15898.248034,131621.740408
2022,10211.28331092437,77569.96248446217,10412.203239,107152.67720799998
2023,24521.84405044136,180940.94626499666,11798.032773,224331.57443699997
2024,33025.939129648716,208758.42108855065,352.53031100000004,263120.29021899996
